r;rid;node1;node2;type;w
r;73958557;150;2983124;0;48754
r;83892682;150;3327721;140;43361
r;73959284;150;2983124;555;29289
r;23925733;150;239128;0;10000
r;19188549;150;664411;128;5992
r;111966;150;82231;6;1069
r;14030357;150;237445;6;893
r;9907703;150;164531;6;851
r;61284;150;4455;0;800
r;74118;150;95256;9;768
r;14400314;150;436315;6;733
r;12986926;150;267394;6;707
r;12986924;150;31424;6;705
r;13008626;150;220342;6;705
r;22120523;150;391581;6;705
r;123140061;150;6737046;6;705
r;107543;150;116032;6;703
r;62641;150;57444;0;671
r;1995675;150;223173;36;667
r;108203;150;47540;0;664
r;74114;150;135591;9;639
r;3156289;150;220349;106;619
r;13572597;150;331030;6;611
r;287694433;150;362056;6;611
r;138411;150;27154;6;609
r;9009356;150;247024;6;609
r;12129859;150;25019;6;609
r;12986930;150;52413;6;609
r;13515569;150;331034;6;609
r;97364680;150;331070;6;609
r;98300700;150;30171;6;609
r;98300702;150;123745;6;609
r;279477100;150;161446;6;609
r;287692599;150;2801975;6;609
r;375546657;150;250507;6;609
r;3156290;150;143206;106;609
r;113896;150;47073;6;607
r;123705;150;30459;6;607
r;127459;150;39101;6;607
r;22120530;150;203247;6;607
r;97364692;150;262002;6;607
r;98300709;150;6605;6;607
r;279309237;150;30843;6;607
r;279477102;150;107150;6;607
r;366638797;150;390812;6;607
r;473624100;150;238551;6;607
r;13009478;150;9780;6;605
r;96509892;150;24956;6;605
r;96536165;150;244620;6;605
r;97364675;150;84233;6;605
r;97364676;150;265174;6;605
r;97364677;150;265175;6;605
r;97364688;150;145083;6;605
r;375547397;150;229604;6;605
r;3156283;150;214939;106;605
r;96506611;150;68439;6;603
r;97364672;150;329645;6;603
r;97364729;150;68467;6;603
r;98300701;150;30810;6;603
r;279477189;150;387938;6;603
r;376431427;150;3674598;6;603
r;12986928;150;25756;6;601
r;97364730;150;218940;6;601
r;279477129;150;2668631;6;601
r;375547194;150;936;6;601
r;375547196;150;233739;6;601
r;377164357;150;9743697;6;601
r;377201028;150;214872;6;601
r;377271158;150;152266;6;601
r;107682;150;152150;6;599
r;13009477;150;106265;6;599
r;98290134;150;46742;6;599
r;374112071;150;17637;6;599
